One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation:Software Developers(SOC Code151252),,,,,,,,,,,,,,,,,
Period:May 2022,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
"New Orleans-Metairie, LA(0035380)",        1140,        12.9,       56.21,      116910,         2.7,       32.04,       40.18,       52.10,       66.80,       78.33,       66650,       83580,      108360,      138930,      162930,       2.205,        0.21
"New York-Newark-Jersey City, NY-NJ-PA(0035620)",      108650,         1.8,       68.67,      142830,         1.0,       39.47,       50.05,       65.69,       82.80,      100.11,       82100,      104110,      136630,      172220,      208230,      11.828,        1.14
"Niles-Benton Harbor, MI(0035660)",         170,         9.1,       49.99,      103980,         3.0,       29.48,       36.98,       49.18,       58.86,       77.16,       61320,       76910,      102290,      122430,      160490,       2.905,        0.28
North Arkansas nonmetropolitan area(0500001),          60,        11.3,       35.68,       74210,         6.7,       15.85,       22.34,       34.96,       46.89,       49.65,       32970,       46470,       72720,       97530,      103270,       0.546,        0.05
North Central Tennessee nonmetropolitan area(4700003),         330,        16.0,       43.63,       90740,         6.6,       14.24,       30.79,       40.19,       62.45,       66.76,       29620,       64050,       83580,      129900,      138860,       2.939,        0.28
North Coast Region of California nonmetropolitan area(0600003),          80,        12.2,       62.15,      129280,         5.5,       32.51,       48.50,       63.30,       76.07,       80.76,       67620,      100880,      131660,      158230,      167980,       0.769,        0.07
North Florida nonmetropolitan area(1200006),         170,        14.2,       53.76,      111830,         2.1,       28.92,       39.05,       50.09,       63.34,       82.97,       60150,       81230,      104190,      131750,      172580,       1.453,        0.14
North Georgia nonmetropolitan area(1300001),         370,         5.8,       50.46,      104960,         2.4,       26.98,       36.03,       51.74,       64.12,       66.79,       56120,       74930,      107620,      133370,      138910,       2.067,        0.20
North Missouri nonmetropolitan area(2900002),         100,         8.2,       47.12,       98010,         3.8,       27.66,       33.81,       46.73,       57.16,       63.76,       57530,       70310,       97190,      118900,      132610,       0.925,        0.09
North Northeastern Ohio nonmetropolitan area(3900002),         520,        18.8,       47.94,       99710,         2.3,       28.33,       35.97,       43.52,       59.35,       75.96,       58920,       74820,       90520,      123450,      158000,       1.624,        0.16
"North Port-Sarasota-Bradenton, FL(0035840)",        1410,         8.0,       54.20,      112730,         2.9,       29.66,       39.34,       51.03,       66.06,       79.04,       61690,       81820,      106140,      137400,      164390,       4.561,        0.44
North Texas Region of Texas nonmetropolitan area(4800002),         370,        15.9,       50.94,      105950,         2.8,       27.03,       38.22,       47.00,       61.89,       75.82,       56220,       79500,       97750,      128720,      157710,       1.369,        0.13
North Valley-Northern Mountains Region of California nonmetropolitan area(0600007),         160,         8.3,       58.73,      122150,         3.1,       28.45,       41.86,       60.83,       73.83,       85.09,       59170,       87070,      126530,      153560,      176980,       1.588,        0.15
Northeast Alabama nonmetropolitan area(0100002),         200,        11.9,       49.12,      102180,         3.1,       23.53,       31.03,       48.10,       61.05,       75.43,       48940,       64530,      100040,      126990,      156890,       1.396,        0.13
Northeast Coastal North Carolina nonmetropolitan area(3700002),         120,         8.5,       54.60,      113560,         3.5,       33.79,       40.80,       51.80,       63.43,       78.36,       70280,       84870,      107750,      131940,      162990,       1.361,        0.13
Northeast Iowa nonmetropolitan area(1900001),         140,         8.0,       56.72,      117980,         6.8,       35.07,       44.83,       52.13,       66.46,       80.96,       72940,       93250,      108440,      138240,      168400,       1.468,        0.14
Northeast Lower Peninsula of Michigan nonmetropolitan area(2600002),          80,        15.2,       43.17,       89790,         6.3,       25.52,       28.95,       35.59,       49.05,       65.68,       53070,       60220,       74020,      102020,      136600,       1.020,        0.10
Northeast Maine nonmetropolitan area(2300001),          50,        26.5,       53.14,      110520,         7.1,       34.17,       47.56,       51.93,       62.71,       62.71,       71080,       98930,      108010,      130430,      130430,       0.795,        0.08
Northeast Minnesota nonmetropolitan area(2700002),          40,        13.0,       48.35,      100570,         8.1,       31.43,       36.38,       47.83,       58.63,       62.53,       65370,       75680,       99490,      121950,      130060,       1.006,        0.10
Northeast Mississippi nonmetropolitan area(2800001),         290,        16.8,       46.42,       96560,         2.4,       29.32,       37.70,       45.27,       53.40,       63.05,       60990,       78410,       94160,      111060,      131140,       1.289,        0.12
Northeast Nebraska nonmetropolitan area(3100003),          40,        12.3,       48.42,      100710,         2.6,       24.63,       39.39,       50.17,       60.81,       66.91,       51240,       81930,      104350,      126490,      139170,       0.485,        0.05
Northeast Oklahoma nonmetropolitan area(4000001),         370,         8.2,       65.20,      135610,         5.2,       34.70,       40.75,       60.40,       71.70,           -,       72170,       84760,      125620,      149140,           -,       3.203,        0.31
Northeast South Carolina nonmetropolitan area(4500006),          90,        16.4,       55.30,      115030,         6.6,       31.76,       37.40,       48.51,       59.39,       79.18,       66050,       77800,      100910,      123520,      164700,       0.927,        0.09
Northeast Virginia nonmetropolitan area(5100003),         690,         6.5,       49.19,      102310,         7.2,       24.55,       33.12,       41.39,       64.33,       78.78,       51070,       68890,       86100,      133810,      163860,      14.061,        1.35
Northeastern Wisconsin nonmetropolitan area(5500002),         700,         5.0,       43.58,       90640,         1.6,       28.47,       37.09,       43.36,       49.36,       60.79,       59210,       77150,       90190,      102680,      126440,       3.652,        0.35
Northern Indiana nonmetropolitan area(1800001),         260,        11.2,       44.81,       93210,         3.0,       22.81,       32.10,       39.93,       52.51,       64.88,       47450,       66770,       83050,      109220,      134940,       1.268,        0.12
Northern New Hampshire nonmetropolitan area(3300001),          50,        10.4,       47.50,       98790,         7.4,       29.68,       36.93,       49.73,       54.76,       63.23,       61740,       76810,      103440,      113910,      131510,       1.301,        0.13
Northern New Mexico nonmetropolitan area(3500006),         210,        15.5,       57.70,      120020,         7.1,       39.90,       47.46,       61.55,       61.55,       81.22,       83000,       98710,      128030,      128030,      168930,       2.659,        0.26
Northern Pennsylvania nonmetropolitan area(4200002),         140,         6.1,       47.56,       98930,         2.4,       25.79,       36.82,       46.64,       59.48,       67.17,       53650,       76590,       97010,      123720,      139710,       0.940,        0.09
Northern Vermont nonmetropolitan area(5000002),         320,        19.3,       52.58,      109360,         6.8,       28.84,       38.91,       39.24,       60.03,      111.81,       59990,       80940,       81620,      124860,      232560,       4.802,        0.46
Northern West Virginia nonmetropolitan area(5400002),         250,        12.6,       46.09,       95870,         4.3,       28.41,       34.25,       47.25,       54.41,       65.05,       59090,       71230,       98280,      113180,      135300,       1.865,        0.18
Northwest Alabama nonmetropolitan area(0100001),          50,        26.2,       43.78,       91070,         5.4,       24.42,       28.08,       40.65,       55.64,       71.98,       50800,       58410,       84560,      115730,      149710,       0.677,        0.07
Northwest Colorado nonmetropolitan area(0800003),         330,        11.8,       65.12,      135450,         3.9,       36.22,       47.95,       67.43,       80.32,       84.20,       75340,       99730,      140260,      167070,      175140,       2.660,        0.26
Northwest Illinois nonmetropolitan area(1700001),         290,         8.2,       50.13,      104270,         3.2,       25.81,       36.93,       49.23,       59.96,       74.67,       53680,       76810,      102390,      124710,      155320,       2.233,        0.22
Northwest Iowa nonmetropolitan area(1900002),         150,        17.1,       62.21,      129410,         4.1,       33.05,       42.39,       57.69,       77.31,      108.65,       68750,       88160,      120000,      160810,      225990,       1.104,        0.11
Northwest Lower Peninsula of Michigan nonmetropolitan area(2600003),         190,        20.0,       41.25,       85800,         3.1,       24.83,       32.57,       40.88,       47.46,       60.13,       51650,       67740,       85020,       98710,      125070,       1.590,        0.15
Northwest Minnesota nonmetropolitan area(2700001),         530,         4.4,       50.63,      105310,         2.0,       30.29,       38.35,       47.14,       61.08,       74.13,       63000,       79780,       98060,      127050,      154190,       2.862,        0.28
Northwest Mississippi nonmetropolitan area(2800002),          60,        44.5,       37.01,       76970,         3.6,       16.97,       33.93,       34.37,       39.79,       55.46,       35300,       70580,       71490,       82760,      115360,       0.696,        0.07
Northwest Nebraska nonmetropolitan area(3100001),          40,        18.3,       47.35,       98480,         4.0,       30.51,       33.41,       46.14,       57.96,       61.88,       63460,       69490,       95970,      120550,      128700,       0.964,        0.09
Northwest Oklahoma nonmetropolitan area(4000002),         170,         9.6,       42.17,       87720,         3.6,       21.87,       29.73,       41.19,       51.23,       62.34,       45480,       61830,       85670,      106550,      129660,       1.817,        0.18
Northwest Virginia nonmetropolitan area(5100004),         240,         5.3,       53.09,      110430,         2.9,       27.46,       37.09,       49.29,       64.42,       82.20,       57120,       77140,      102520,      134000,      170980,       3.818,        0.37
Northwestern Idaho nonmetropolitan area(1600006),         180,        15.5,       45.60,       94840,         7.5,       19.28,       29.55,       46.68,       62.02,       72.16,       40100,       61460,       97090,      128990,      150080,       2.560,        0.25
Northwestern Wisconsin nonmetropolitan area(5500001),          50,        12.7,       36.70,       76340,         6.8,       22.99,       24.44,       31.08,       46.51,       58.79,       47820,       50840,       64640,       96750,      122270,       1.094,        0.11
"Norwich-New London-Westerly, CT-RI(0076450)",        1090,         3.4,       56.72,      117990,         1.1,       38.97,       40.09,       52.16,       66.41,       82.39,       81060,       83390,      108500,      138140,      171370,       9.100,        0.88
"Ocala, FL(0036100)",         400,         3.6,       54.75,      113890,         1.4,       34.70,       38.33,       48.43,       63.25,       78.49,       72180,       79730,      100740,      131550,      163260,       3.604,        0.35
"Ocean City, NJ(0036140)",          60,         6.7,       55.51,      115460,         5.1,       29.91,       35.58,       46.53,       64.41,       96.80,       62220,       74000,       96790,      133960,      201340,       1.557,        0.15
"Odessa, TX(0036220)",          80,        16.1,       54.99,      114380,         3.1,       28.29,       43.09,       50.37,       65.48,       82.54,       58840,       89620,      104770,      136200,      171690,       1.103,        0.11
"Ogden-Clearfield, UT(0036260)",        1700,         7.0,       53.66,      111620,         2.3,       28.47,       39.30,       51.29,       64.32,       80.56,       59230,       81740,      106680,      133780,      167560,       6.113,        0.59
"Oklahoma City, OK(0036420)",        3780,         7.4,       52.87,      109960,         1.9,       29.25,       38.14,       48.73,       65.20,       77.15,       60840,       79320,      101350,      135610,      160460,       6.021,        0.58
"Olympia-Tumwater, WA(0036500)",        1870,         5.8,       57.86,      120350,         1.7,       36.81,       46.50,       53.93,       74.26,       79.89,       76570,       96720,      112170,      154450,      166160,      15.481,        1.49
"Omaha-Council Bluffs, NE-IA(0036540)",        4680,         6.8,       52.45,      109090,         1.6,       35.80,       41.30,       51.85,       63.14,       67.36,       74460,       85910,      107840,      131320,      140110,       9.917,        0.96
"Orlando-Kissimmee-Sanford, FL(0036740)",       11240,         5.1,       54.78,      113930,         2.2,       31.05,       39.64,       51.46,       65.76,       79.19,       64580,       82460,      107040,      136790,      164710,       8.666,        0.84
"Oshkosh-Neenah, WI(0036780)",         540,         8.3,       46.97,       97690,         1.1,       29.89,       38.25,       47.56,       51.86,       63.88,       62180,       79560,       98920,      107860,      132870,       5.942,        0.57
"Owensboro, KY(0036980)",          50,        15.5,       47.09,       97950,         7.9,       20.88,       38.23,       43.77,       58.11,       71.84,       43420,       79530,       91050,      120870,      149420,       1.079,        0.10
"Oxnard-Thousand Oaks-Ventura, CA(0037100)",        2050,         6.5,       64.62,      134410,         1.4,       38.01,       50.50,       62.08,       76.65,       85.62,       79050,      105040,      129130,      159430,      178090,       6.563,        0.63
"Palm Bay-Melbourne-Titusville, FL(0037340)",        4290,         4.3,       58.49,      121660,         1.2,       37.71,       46.79,       52.34,       66.13,       82.86,       78440,       97320,      108870,      137550,      172350,      18.738,        1.81
"Panama City, FL(0037460)",         290,         5.9,       49.85,      103680,         1.9,       26.91,       35.72,       48.09,       62.44,       75.03,       55970,       74300,      100030,      129870,      156070,       3.513,        0.34
"Pensacola-Ferry Pass-Brent, FL(0037860)",        1160,         6.1,       46.97,       97700,         2.6,       28.76,       35.80,       44.83,       56.28,       71.17,       59820,       74460,       93250,      117060,      148040,       6.378,        0.61
"Peoria, IL(0037900)",         680,         3.6,       52.31,      108810,         1.5,       31.90,       39.41,       50.78,       61.49,       74.08,       66350,       81980,      105620,      127910,      154080,       4.204,        0.41
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD(0037980)",       25340,         2.7,       57.82,      120260,         1.4,       36.81,       44.59,       55.61,       66.45,       81.33,       76570,       92740,      115660,      138220,      169170,       9.150,        0.88
"Phoenix-Mesa-Scottsdale, AZ(0038060)",       29160,         4.6,       59.17,      123070,         1.4,       37.18,       47.12,       53.72,       66.07,       81.37,       77330,       98000,      111730,      137420,      169250,      13.134,        1.27
Piedmont North Carolina nonmetropolitan area(3700003),         610,        17.0,       51.50,      107120,         1.7,       28.59,       36.66,       47.99,       61.75,       78.72,       59460,       76250,       99810,      128440,      163740,       2.451,        0.24
"Pittsburgh, PA(0038300)",        7900,         4.9,       52.05,      108270,         1.7,       31.69,       39.18,       50.17,       62.18,       75.77,       65920,       81490,      104350,      129330,      157590,       7.468,        0.72
"Pittsfield, MA(0076600)",         260,         5.9,       54.69,      113760,         3.1,       38.17,       40.17,       49.13,       65.45,       83.38,       79390,       83560,      102180,      136140,      173430,       6.916,        0.67
"Pocatello, ID(0038540)",         130,        13.0,       44.71,       92990,         4.1,       25.20,       32.15,       40.67,       57.74,       67.50,       52410,       66870,       84590,      120100,      140400,       3.503,        0.34
"Port St. Lucie, FL(0038940)",         400,         9.6,       54.67,      113700,         2.8,       28.96,       38.08,       49.53,       64.39,       83.16,       60230,       79200,      103030,      133930,      172970,       2.553,        0.25
"Portland-South Portland, ME(0076750)",        1530,         8.4,       50.01,      104010,         2.6,       31.67,       38.55,       48.57,       58.21,       65.90,       65880,       80190,      101020,      121080,      137060,       7.498,        0.72
"Portland-Vancouver-Hillsboro, OR-WA(0038900)",       17100,         3.5,       59.57,      123900,         2.9,       32.16,       46.72,       60.99,       71.43,       84.21,       66890,       97180,      126860,      148580,      175150,      14.477,        1.39
"Portsmouth, NH-ME(0076900)",         850,         7.6,       59.10,      122920,         1.2,       36.96,       48.40,       59.29,       70.67,       80.87,       76880,      100660,      123330,      146990,      168210,       9.451,        0.91
"Prescott, AZ(0039140)",         190,         9.8,       54.33,      113010,         4.0,       34.25,       40.77,       49.84,       61.41,       83.08,       71240,       84810,      103660,      127730,      172810,       2.916,        0.28
"Providence-Warwick, RI-MA(0077200)",        4200,         8.0,       66.34,      137990,         3.9,       37.17,       48.29,       60.48,       76.92,      107.66,       77310,      100450,      125790,      159990,      223930,       7.489,        0.72
"Provo-Orem, UT(0039340)",        6160,         2.6,       55.97,      116420,         1.5,       26.50,       40.63,       53.48,       66.80,       82.63,       55130,       84500,      111240,      138940,      171880,      21.617,        2.08
"Pueblo, CO(0039380)",         180,        14.2,       56.66,      117850,         2.2,       30.97,       41.70,       56.82,       74.66,       83.08,       64420,       86730,      118190,      155290,      172810,       2.878,        0.28
"Punta Gorda, FL(0039460)",         210,         6.3,       51.82,      107780,         5.8,       31.47,       37.56,       52.22,       63.17,       76.02,       65460,       78130,      108620,      131390,      158110,       4.074,        0.39
"Racine, WI(0039540)",         230,         5.2,       45.85,       95370,         1.3,       29.58,       35.96,       46.19,       53.80,       63.55,       61530,       74810,       96060,      111910,      132180,       3.132,        0.30
"Raleigh, NC(0039580)",       15520,         9.6,       61.48,      127870,         1.5,       34.85,       48.57,       62.27,       75.29,       85.45,       72490,      101030,      129520,      156600,      177740,      23.078,        2.22
"Rapid City, SD(0039660)",           -,           -,       40.38,       83990,         7.2,       29.47,       33.29,       40.61,       47.24,       51.87,       61300,       69250,       84470,       98270,      107890,           -,           -
"Reading, PA(0039740)",         500,         5.0,       51.97,      108090,         1.3,       32.21,       39.50,       49.93,       60.74,       75.95,       67000,       82160,      103860,      126340,      157980,       3.017,        0.29
"Redding, CA(0039820)",         150,        10.2,       60.16,      125130,         3.3,       31.06,       48.36,       61.01,       71.98,       81.50,       64610,      100600,      126900,      149720,      169520,       2.188,        0.21
"Reno, NV(0039900)",        1110,        13.9,       58.39,      121450,         6.4,       31.93,       39.25,       51.64,       67.77,       94.62,       66410,       81630,      107400,      140960,      196810,       4.494,        0.43
"Richmond, VA(0040060)",        7880,         3.5,       59.69,      124160,         0.7,       35.96,       46.94,       58.89,       72.80,       82.90,       74790,       97640,      122480,      151430,      172440,      12.508,        1.21
"Riverside-San Bernardino-Ontario, CA(0040140)",        4040,        10.1,       61.41,      127720,         1.0,       38.24,       50.17,       62.26,       73.72,       80.17,       79550,      104350,      129500,      153340,      166760,       2.477,        0.24
"Roanoke, VA(0040220)",         800,         5.8,       48.50,      100870,         1.5,       28.61,       37.77,       45.58,       59.71,       72.80,       59520,       78560,       94800,      124210,      151420,       5.455,        0.53
"Rochester, MN(0040340)",         710,         5.9,       52.25,      108690,         2.0,       35.95,       41.07,       52.72,       65.88,       65.88,       74770,       85420,      109660,      137030,      137030,       6.039,        0.58
"Rochester, NY(0040380)",        4190,         4.1,       53.51,      111300,         1.6,       30.18,       40.33,       51.76,       64.33,       79.58,       62780,       83890,      107660,      133800,      165530,       8.629,        0.83
"Rockford, IL(0040420)",         500,         5.1,       49.74,      103460,         2.2,       28.83,       37.97,       47.75,       60.57,       72.71,       59970,       78980,       99330,      125990,      151230,       3.663,        0.35
"Rocky Mount, NC(0040580)",         110,        22.7,       51.55,      107220,         2.5,       34.28,       45.13,       48.17,       60.55,       67.58,       71300,       93870,      100190,      125950,      140570,       1.991,        0.19
"Rome, GA(0040660)",         100,        13.9,       53.28,      110820,         4.7,       24.12,       35.50,       52.49,       65.16,       82.50,       50180,       73840,      109190,      135520,      171600,       2.612,        0.25
"Sacramento--Roseville--Arden-Arcade, CA(0040900)",        6200,         8.5,       66.87,      139100,         1.5,       38.94,       51.14,       64.41,       78.34,       97.93,       80990,      106370,      133980,      162940,      203690,       6.023,        0.58
"Saginaw, MI(0040980)",         210,         6.9,       43.74,       90980,         1.5,       27.64,       35.78,       42.37,       50.03,       60.06,       57490,       74410,       88120,      104070,      124930,       2.631,        0.25
"Salem, OR(0041420)",         830,         3.8,       53.04,      110320,         2.1,       34.71,       43.20,       51.17,       63.00,       70.89,       72200,       89860,      106440,      131040,      147450,       4.729,        0.46
"Salinas, CA(0041500)",         250,        15.0,       57.14,      118850,         2.9,       33.89,       42.68,       54.52,       66.80,       81.05,       70490,       88780,      113410,      138940,      168580,       1.384,        0.13
"Salisbury, MD-DE(0041540)",         280,        13.2,       53.65,      111600,         5.1,       27.94,       37.86,       50.06,       63.48,       88.11,       58110,       78750,      104130,      132030,      183280,       1.744,        0.17
"Salt Lake City, UT(0041620)",       12670,         5.6,       53.53,      111350,         2.5,       22.30,       38.36,       51.38,       65.92,       82.30,       46380,       79790,      106880,      137120,      171180,      16.232,        1.56
"San Angelo, TX(0041660)",         120,        15.5,       47.25,       98280,         2.7,       28.59,       32.40,       45.11,       59.85,       68.33,       59460,       67390,       93830,      124490,      142120,       2.506,        0.24
"San Antonio-New Braunfels, TX(0041700)",        4630,         4.1,       54.62,      113600,         1.4,       31.32,       42.06,       53.56,       62.83,       75.16,       65140,       87490,      111410,      130690,      156320,       4.416,        0.43
"San Diego-Carlsbad, CA(0041740)",       17380,         4.1,       70.47,      146580,         1.3,       41.30,       52.87,       66.41,       82.97,       96.99,       85900,      109960,      138130,      172570,      201740,      11.667,        1.12
"San Francisco-Oakland-Hayward, CA(0041860)",       67010,         3.0,       87.32,      181620,         1.2,       50.63,       64.18,       79.78,       98.98,           -,      105310,      133500,      165950,      205880,           -,      28.007,        2.70
"San Jose-Sunnyvale-Santa Clara, CA(0041940)",       83860,         1.9,      112.76,      234540,         1.6,       61.49,       78.30,       92.86,           -,           -,      127900,      162860,      193140,           -,           -,      74.674,        7.20
"San Juan-Carolina-Caguas, PR(0041980)",         900,        15.1,       37.80,       78630,         6.1,       18.20,       21.19,       32.92,       48.85,       66.71,       37850,       44070,       68470,      101600,      138750,       1.341,        0.13
"San Luis Obispo-Paso Robles-Arroyo Grande, CA(0042020)",         440,        14.3,       64.79,      134770,         6.4,       38.46,       49.35,       63.42,       78.72,       93.40,       80000,      102640,      131910,      163730,      194280,       3.715,        0.36
"Santa Cruz-Watsonville, CA(0042100)",         460,         3.7,       66.18,      137650,         1.7,       37.47,       50.12,       66.22,       80.48,       85.33,       77930,      104250,      137730,      167390,      177480,       4.735,        0.46
"Santa Fe, NM(0042140)",         250,        12.8,       46.25,       96190,        15.4,       29.33,       33.98,       41.40,       49.66,       69.55,       61010,       70680,       86110,      103290,      144660,       4.131,        0.40
"Santa Maria-Santa Barbara, CA(0042200)",        2270,         2.0,       74.61,      155200,         1.6,       42.48,       60.43,       64.66,       83.06,      106.06,       88350,      125680,      134490,      172760,      220600,      11.012,        1.06
"Santa Rosa, CA(0042220)",         630,        11.9,       68.04,      141530,         2.7,       40.86,       54.59,       67.34,       78.68,       95.32,       84990,      113560,      140070,      163660,      198270,       3.103,        0.30
"Savannah, GA(0042340)",         520,         5.1,       56.32,      117150,         2.3,       25.67,       38.87,       56.54,       70.35,       79.02,       53400,       80860,      117590,      146320,      164360,       2.832,        0.27
"Scranton--Wilkes-Barre--Hazleton, PA(0042540)",         700,         6.5,       48.58,      101040,         1.6,       29.09,       39.05,       49.44,       59.33,       62.61,       60500,       81230,      102820,      123410,      130240,       2.815,        0.27
"Seattle-Tacoma-Bellevue, WA(0042660)",       80770,         2.7,       74.85,      155680,         1.6,       40.81,       59.52,       73.04,       87.47,      105.84,       84890,      123800,      151930,      181930,      220150,      39.642,        3.82
"Sebastian-Vero Beach, FL(0042680)",         120,         6.9,       51.45,      107010,         4.7,       28.01,       37.59,       47.56,       61.84,       82.94,       58250,       78190,       98920,      128620,      172520,       2.264,        0.22
"Sheboygan, WI(0043100)",         210,         5.0,       43.59,       90660,         1.9,       30.50,       38.29,       46.02,       47.05,       58.46,       63440,       79640,       95710,       97870,      121590,       3.540,        0.34
"Sherman-Denison, TX(0043300)",          60,         9.3,       49.75,      103480,         4.8,       20.90,       38.12,       49.33,       61.50,       64.53,       43470,       79300,      102600,      127910,      134220,       1.162,        0.11
"Shreveport-Bossier City, LA(0043340)",         200,        14.5,       49.89,      103780,         3.1,       28.92,       36.48,       48.31,       58.34,       76.12,       60150,       75870,      100480,      121340,      158320,       1.220,        0.12
"Sierra Vista-Douglas, AZ(0043420)",         260,         9.1,       56.73,      118000,         3.4,       36.08,       45.98,       50.33,       62.84,       79.57,       75050,       95630,      104680,      130710,      165500,       7.864,        0.76
"Sioux City, IA-NE-SD(0043580)",         270,         8.6,       48.27,      100390,         2.0,       31.73,       37.56,       50.28,       53.47,       66.85,       66000,       78120,      104570,      111210,      139040,       3.092,        0.30
"Sioux Falls, SD(0043620)",        1060,         7.5,       40.83,       84920,         9.0,       30.31,       30.52,       38.79,       47.47,       54.06,       63050,       63490,       80680,       98740,      112450,       6.596,        0.64
South Arkansas nonmetropolitan area(0500004),          50,        11.0,       42.27,       87930,        13.0,       27.38,       30.14,       38.60,       49.57,       60.33,       56950,       62700,       80280,      103110,      125480,       0.543,        0.05
"South Bend-Mishawaka, IN-MI(0043780)",         380,         6.4,       47.15,       98060,         6.1,       29.63,       35.99,       47.87,       52.92,       65.22,       61630,       74850,       99580,      110070,      135650,       2.989,        0.29
South Central Kentucky nonmetropolitan area(2100002),         110,        11.5,       46.27,       96250,         7.9,       29.19,       37.45,       44.62,       56.17,       67.61,       60710,       77900,       92800,      116830,      140620,       0.636,        0.06
South Central Tennessee nonmetropolitan area(4700002),         340,        15.8,       46.08,       95840,         3.9,       19.75,       32.32,       44.75,       60.07,       65.23,       41080,       67230,       93080,      124940,      135690,       3.108,        0.30
South Central Wisconsin nonmetropolitan area(5500003),         310,         4.8,       44.44,       92440,         1.5,       24.84,       33.10,       43.45,       52.25,       62.50,       51660,       68840,       90370,      108690,      129990,       1.521,        0.15
South Florida nonmetropolitan area(1200003),         120,         7.4,       56.51,      117530,         4.1,       29.69,       39.59,       51.37,       65.96,       84.32,       61750,       82340,      106840,      137200,      175380,       1.524,        0.15
South Georgia nonmetropolitan area(1300004),         150,        12.6,       49.28,      102510,         2.7,       23.18,       30.84,       50.23,       60.26,       75.05,       48220,       64140,      104480,      125330,      156110,       0.790,        0.08
South Illinois nonmetropolitan area(1700004),         230,         5.6,       54.06,      112440,         2.2,       29.54,       39.89,       57.82,       65.65,       80.29,       61440,       82960,      120270,      136560,      166990,       2.589,        0.25
South Nebraska nonmetropolitan area(3100006),         140,        10.0,       44.30,       92140,         2.4,       24.63,       31.96,       45.98,       57.96,       58.99,       51230,       66490,       95630,      120550,      122700,       0.985,        0.09
Southeast Alabama nonmetropolitan area(0100004),         210,        10.2,       47.41,       98620,         2.5,       24.30,       34.72,       46.59,       59.53,       76.43,       50540,       72210,       96910,      123820,      158980,       2.417,        0.23
Southeast Coastal North Carolina nonmetropolitan area(3700001),         480,        13.0,       55.54,      115530,         1.9,       31.72,       44.27,       57.98,       65.70,       76.92,       65970,       92080,      120590,      136660,      159990,       1.965,        0.19
Southeast Iowa nonmetropolitan area(1900004),         480,        12.4,       48.10,      100040,         2.5,       29.37,       37.34,       47.47,       56.26,       68.28,       61090,       77670,       98740,      117020,      142010,       2.266,        0.22
Southeast Minnesota nonmetropolitan area(2700004),         800,         2.0,       48.71,      101330,         0.6,       31.64,       38.92,       47.88,       58.75,       61.04,       65800,       80960,       99600,      122190,      126970,       5.350,        0.52
Southeast Mississippi nonmetropolitan area(2800003),          70,        27.4,       45.04,       93680,         5.4,       24.71,       34.61,       40.03,       51.02,       70.89,       51390,       71990,       83250,      106130,      147450,       0.456,        0.04
Southeast Oklahoma nonmetropolitan area(4000004),         180,         9.1,       41.86,       87070,         5.1,       22.37,       30.15,       40.72,       50.00,       64.82,       46520,       62710,       84690,      103990,      134820,       1.061,        0.10
Southeast-Central Idaho nonmetropolitan area(1600007),         270,        16.1,       44.85,       93290,         7.1,       19.28,       30.00,       40.51,       60.09,       69.85,       40100,       62400,       84250,      124990,      145280,       2.947,        0.28
Southern Indiana nonmetropolitan area(1800003),         200,         9.1,       44.54,       92640,         2.1,       28.37,       32.49,       45.92,       52.88,       59.84,       59010,       67570,       95510,      109990,      124460,       1.069,        0.10
Southern Ohio nonmetropolitan area(3900004),         240,         6.9,       44.36,       92260,         2.3,       24.11,       31.11,       41.77,       55.35,       70.00,       50140,       64700,       86880,      115130,      145600,       1.555,        0.15
Southern Pennsylvania nonmetropolitan area(4200003),         180,         6.7,       47.90,       99630,         1.4,       27.49,       37.81,       47.10,       58.48,       72.92,       57180,       78650,       97960,      121640,      151660,       0.961,        0.09
Southern Vermont nonmetropolitan area(5000001),           -,           -,       48.58,      101040,        17.8,       34.00,       38.35,       48.40,       50.76,       73.63,       70720,       79770,      100670,      105580,      153150,           -,           -
Southern West Virginia nonmetropolitan area(5400001),          60,        19.2,       42.59,       88580,         3.7,       24.71,       29.68,       38.56,       48.22,       64.79,       51390,       61730,       80200,      100290,      134770,       0.848,        0.08
Southside Virginia nonmetropolitan area(5100002),         350,         7.7,       52.00,      108160,         1.9,       29.08,       38.87,       48.97,       62.71,       79.32,       60480,       80860,      101870,      130430,      164990,       3.535,        0.34
Southwest Alabama nonmetropolitan area(0100003),          30,        16.9,       36.65,       76220,        12.8,       17.16,       25.46,       28.73,       50.48,       61.11,       35700,       52970,       59760,      105000,      127100,       0.497,        0.05
Southwest Colorado nonmetropolitan area(0800002),         240,        22.5,       56.76,      118060,         4.1,       35.80,       41.10,       53.67,       65.89,       81.93,       74460,       85480,      111640,      137060,      170410,       2.396,        0.23
